epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,462.761,1.00106,1.7047,0.75706,0.94832,0.65928,0.52822,0.59236,0.35426,0.64365,0.48734,0.54085,0.29063,1.30689,2.64335,1.04123,1.09213,0.000379743,0.000379743,0.000379743
80,467.64,1.01033,1.61689,0.72448,0.95389,0.62923,0.57618,0.59668,0.36013,0.73091,0.46863,0.5544,0.30108,1.28748,2.6137,1.01407,1.08193,0.000363239,0.000363239,0.000363239
81,473.258,0.86655,1.57595,0.73405,0.9239,0.7208,0.50629,0.59136,0.35988,0.72209,0.47968,0.54874,0.29917,1.28424,2.61892,1.0238,1.08185,0.000346736,0.000346736,0.000346736
82,477.753,0.84872,1.44389,0.69301,0.90832,0.65528,0.53927,0.58542,0.35331,0.6135,0.49787,0.52863,0.29392,1.28808,2.6176,1.04028,1.08051,0.000330233,0.000330233,0.000330233
83,482.616,0.91543,1.51099,0.69215,0.9211,0.65443,0.52404,0.58519,0.34891,0.6387,0.47466,0.52939,0.29249,1.30749,2.63203,1.06736,1.0847,0.000313729,0.000313729,0.000313729
84,488.675,0.96732,1.73969,0.73048,0.9197,0.6432,0.52262,0.57277,0.34795,0.65885,0.47692,0.52911,0.29463,1.31362,2.67506,1.07214,1.08754,0.000297226,0.000297226,0.000297226
85,493.052,1.07056,1.83403,0.79881,0.94286,0.64926,0.49973,0.56388,0.34613,0.68881,0.46226,0.52629,0.29137,1.29903,2.66781,1.05653,1.08568,0.000280723,0.000280723,0.000280723
86,498.479,0.8877,1.50969,0.69163,0.90315,0.69018,0.49421,0.56859,0.34413,0.69424,0.46027,0.523,0.2884,1.29438,2.65161,1.03569,1.08745,0.00026422,0.00026422,0.00026422
87,503.521,1.01595,1.79809,0.7349,0.94621,0.6982,0.48681,0.56723,0.34273,0.6741,0.46722,0.52306,0.2882,1.29841,2.63437,1.03021,1.08791,0.000247716,0.000247716,0.000247716
88,507.846,0.87994,1.54898,0.66029,0.89769,0.6722,0.54069,0.58902,0.34349,0.68232,0.48043,0.53169,0.28867,1.30683,2.6151,1.02476,1.09324,0.000231213,0.000231213,0.000231213
89,514.019,0.89044,1.5209,0.69089,0.89585,0.71467,0.50761,0.5888,0.34281,0.68964,0.48684,0.53908,0.29127,1.30749,2.61667,1.02691,1.09722,0.00021471,0.00021471,0.00021471
90,518.986,0.93825,1.55822,0.67915,0.90519,0.71925,0.52574,0.58575,0.34324,0.69231,0.49017,0.54129,0.29417,1.29498,2.61599,1.01725,1.09541,0.000198206,0.000198206,0.000198206
91,533.446,0.90288,1.57375,0.76677,0.89699,0.69015,0.52041,0.57897,0.3439,0.68638,0.48876,0.5367,0.29232,1.29222,2.62146,1.02101,1.09351,0.000181703,0.000181703,0.000181703
92,538.736,0.89911,1.56227,0.76481,0.91244,0.68055,0.53453,0.57855,0.341,0.68028,0.48047,0.53319,0.2927,1.31003,2.61184,1.05208,1.09846,0.0001652,0.0001652,0.0001652
93,544.463,0.91144,1.58579,0.72056,0.89882,0.68925,0.51298,0.5679,0.33615,0.68176,0.47874,0.52503,0.28441,1.3138,2.60864,1.08345,1.09846,0.000148696,0.000148696,0.000148696
94,548.736,0.9013,1.62054,0.7228,0.90537,0.73078,0.53177,0.56916,0.33951,0.72236,0.49164,0.52145,0.28713,1.3342,2.60029,1.13466,1.10733,0.000132193,0.000132193,0.000132193
95,552.815,0.88707,1.61937,0.71221,0.9083,0.7164,0.52418,0.56412,0.33795,0.70966,0.48273,0.51185,0.28376,1.33294,2.60474,1.13778,1.10688,0.00011569,0.00011569,0.00011569
96,558.336,0.92881,1.56686,0.73141,0.91229,0.72398,0.50052,0.55853,0.33811,0.70516,0.49475,0.52579,0.28888,1.33474,2.60767,1.12081,1.10787,9.91865e-05,9.91865e-05,9.91865e-05
97,562.487,0.88445,1.56114,0.70666,0.88927,0.70178,0.50604,0.56171,0.33676,0.68957,0.49393,0.53029,0.29082,1.32558,2.60663,1.10169,1.10681,8.26832e-05,8.26832e-05,8.26832e-05
98,565.796,0.87692,1.54066,0.6905,0.88802,0.65866,0.52462,0.56451,0.33862,0.66891,0.50229,0.53568,0.29342,1.31772,2.60751,1.08027,1.10447,6.61799e-05,6.61799e-05,6.61799e-05
99,569.754,0.86943,1.52488,0.69681,0.89118,0.70235,0.49563,0.56233,0.33925,0.6631,0.49183,0.5297,0.29051,1.3098,2.61205,1.07339,1.10366,4.96766e-05,4.96766e-05,4.96766e-05
100,574.484,0.89534,1.56544,0.70236,0.90643,0.70858,0.50257,0.57365,0.33984,0.66214,0.47914,0.52113,0.2884,1.3033,2.60892,1.06432,1.10065,3.31733e-05,3.31733e-05,3.31733e-05
